date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:52	1588/1588	---MCZ	200	added ('OK')	text/css	etag:W/%225ba6704d-634%22	https://colorlib.com/preview/theme/dentacare/css/jquery.timepicker.css	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/css/jquery.timepicker.css	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:52	1472/1472	---MCZ	200	added ('OK')	text/css	etag:W/%225ba67048-5c0%22	https://colorlib.com/preview/theme/dentacare/css/flaticon.css	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/css/flaticon.css	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:52	79875/79875	---MCZ	200	added ('OK')	text/css	etag:W/%225ba6704c-13803%22	https://colorlib.com/preview/theme/dentacare/css/icomoon.css	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/css/icomoon.css	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:53	256582/256582	---MCZ	200	added ('OK')	text/css	etag:W/%225ba67056-3ea46%22	https://colorlib.com/preview/theme/dentacare/css/style.css	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/css/style.css	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:53	18767/18767	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2016:39:21%20GMT	https://colorlib.com/preview/theme/dentacare/about.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/about.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:53	17573/17573	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2016:39:27%20GMT	https://colorlib.com/preview/theme/dentacare/services.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/services.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:53	20337/20337	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2016:39:24%20GMT	https://colorlib.com/preview/theme/dentacare/doctors.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/doctors.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:54	18557/18557	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2016:39:23%20GMT	https://colorlib.com/preview/theme/dentacare/blog.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/blog.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:54	11337/11337	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2016:39:23%20GMT	https://colorlib.com/preview/theme/dentacare/contact.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/contact.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:55	131983/131983	---M--	200	added ('OK')	image/jpeg	etag:%225ba67061-2038f%22	https://colorlib.com/preview/theme/dentacare/images/bg_1.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/bg_1.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:55	428131/428131	---M--	200	added ('OK')	image/jpeg	etag:%225ba6706d-68863%22	https://colorlib.com/preview/theme/dentacare/images/bg_2.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/bg_2.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:55	103471/103471	---M--	200	added ('OK')	image/jpeg	etag:%225ba6705e-1942f%22	https://colorlib.com/preview/theme/dentacare/images/about-2.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/about-2.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:56	58687/58687	---M--	200	added ('OK')	image/jpeg	etag:%225ba67080-e53f%22	https://colorlib.com/preview/theme/dentacare/images/person_5.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_5.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:57	28730/28730	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202019%2003:58:59%20GMT	https://colorlib.com/preview/theme/dentacare/teacher-single.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/teacher-single.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:57	82943/82943	---M--	200	added ('OK')	image/jpeg	etag:%225ba67084-143ff%22	https://colorlib.com/preview/theme/dentacare/images/person_6.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_6.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:58	59749/59749	---M--	200	added ('OK')	image/jpeg	etag:%225ba67084-e965%22	https://colorlib.com/preview/theme/dentacare/images/person_7.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_7.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:58	49233/49233	---M--	200	added ('OK')	image/jpeg	etag:%225ba67085-c051%22	https://colorlib.com/preview/theme/dentacare/images/person_8.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_8.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:58	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707c-8cfa%22	https://colorlib.com/preview/theme/dentacare/images/person_1.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_1.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
